REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2020-08-01,139.85690307617188,142.82569885253906,155.01364135742188,167.98834228515625,153.69032287597656,127.993408203125,172.1353759765625,138.7781524658203,158.1298828125
2020-09-01,159.67169189453125,143.02005004882812,151.0787353515625,174.3500518798828,146.56082153320312,131.62684631347656,149.8775177001953,139.82669067382812,123.12171173095703
2020-10-01,149.3704833984375,137.9904327392578,156.79843139648438,162.84854125976562,139.86724853515625,126.54689025878906,124.78527069091797,129.3655242919922,158.75982666015625
2020-11-01,141.81689453125,140.07383728027344,138.1394805908203,152.8404083251953,153.36544799804688,130.58245849609375,175.683349609375,147.06121826171875,147.28648376464844
2020-12-01,152.73455810546875,142.47393798828125,151.82778930664062,156.98648071289062,123.11534118652344,132.09271240234375,168.3655242919922,147.57534790039062,165.5638427734375
2021-01-01,134.5728759765625,136.90028381347656,165.5789794921875,179.9031524658203,154.06997680664062,145.8594970703125,173.95675659179688,135.36680603027344,119.7267074584961
2021-02-01,142.395263671875,146.9228515625,165.68670654296875,153.02017211914062,149.32936096191406,151.34814453125,151.92254638671875,139.00491333007812,138.20123291015625
2021-03-01,133.63516235351562,147.33758544921875,159.10983276367188,173.18585205078125,146.32986450195312,147.48910522460938,160.60174560546875,158.8958740234375,121.49258422851562
2021-04-01,140.4088897705078,137.12738037109375,153.78213500976562,170.61354064941406,159.53993225097656,150.1873016357422,169.9165496826172,137.8965606689453,166.9388427734375
2021-05-01,150.99456787109375,138.8212127685547,168.98062133789062,173.83160400390625,134.71151733398438,134.72915649414062,162.15611267089844,144.54452514648438,128.57606506347656
2021-06-01,143.9922332763672,130.0002899169922,168.91014099121094,182.5048370361328,147.97573852539062,132.32093811035156,150.11032104492188,144.55258178710938,138.97325134277344
2021-07-01,116.06062316894531,124.52991485595703,161.40567016601562,176.60801696777344,143.54293823242188,141.3167266845703,152.7606964111328,142.34490966796875,139.385986328125
2021-08-01,113.41728210449219,141.8062744140625,165.14797973632812,160.52090454101562,144.27915954589844,143.58804321289062,168.15252685546875,147.71896362304688,132.68038940429688
2021-09-01,119.95624542236328,142.05929565429688,144.50283813476562,166.017333984375,142.68414306640625,148.6074981689453,166.9835968017578,144.83721923828125,138.05859375
