ds,Food
2021-10-01,155.88665771484375
2021-11-01,158.22561645507812
2021-12-01,159.87249755859375
2022-01-01,161.27395629882812
2022-02-01,160.73875427246094
2022-03-01,161.54061889648438
2022-04-01,162.7998046875
2022-05-01,162.3262939453125
2022-06-01,162.82852172851562
2022-07-01,162.845947265625
2022-08-01,163.8278045654297
2022-09-01,163.0305938720703
2022-10-01,159.76303100585938
2022-11-01,162.7285614013672
2022-12-01,163.57171630859375
2023-01-01,164.97894287109375
2023-02-01,167.54176330566406
2023-03-01,165.82730102539062
