,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-31,142.6402970264777,138.0498405366516,146.80665370091225,142.6402970264777,142.6402970264777,-0.3936651596005915,-0.3936651596005915,-0.3936651596005915,-0.3936651596005915,-0.3936651596005915,-0.3936651596005915,0.0,0.0,0.0,142.2466318668771
1,2021-09-30,142.82376325047687,136.73540517540408,145.15333176161988,142.82376325047687,142.82376325047687,-1.913129700769701,-1.913129700769701,-1.913129700769701,-1.913129700769701,-1.913129700769701,-1.913129700769701,0.0,0.0,0.0,140.91063354970717
2,2021-10-31,143.01334501527603,137.2764503569865,145.80935161618308,143.01334501527603,143.01334501527603,-1.4504578083179982,-1.4504578083179982,-1.4504578083179982,-1.4504578083179982,-1.4504578083179982,-1.4504578083179982,0.0,0.0,0.0,141.56288720695804
3,2021-11-30,143.1968112392752,137.97753994702896,146.31984340991954,143.19449114798704,143.1968112392752,-0.8824509965701308,-0.8824509965701308,-0.8824509965701308,-0.8824509965701308,-0.8824509965701308,-0.8824509965701308,0.0,0.0,0.0,142.31436024270508
4,2021-12-31,143.3863930040744,139.63710516194038,148.23975805145062,143.37472912870763,143.38771501146869,0.6554177158034133,0.6554177158034133,0.6554177158034133,0.6554177158034133,0.6554177158034133,0.6554177158034133,0.0,0.0,0.0,144.04181071987782
5,2022-01-31,143.57597476887352,137.97309088883247,146.52036948356792,143.55390559894852,143.58426345233812,-1.2312951263876506,-1.2312951263876506,-1.2312951263876506,-1.2312951263876506,-1.2312951263876506,-1.2312951263876506,0.0,0.0,0.0,142.34467964248586
6,2022-02-28,143.74720991127276,138.57606516867418,147.54081309207825,143.71292617336172,143.76567090478966,-0.6288551504957031,-0.6288551504957031,-0.6288551504957031,-0.6288551504957031,-0.6288551504957031,-0.6288551504957031,0.0,0.0,0.0,143.11835476077707
7,2022-03-31,143.93679167607192,137.28763978916717,146.0827766503084,143.88529807603936,143.9636605344783,-2.1822160864660534,-2.1822160864660534,-2.1822160864660534,-2.1822160864660534,-2.1822160864660534,-2.1822160864660534,0.0,0.0,0.0,141.75457558960588
8,2022-04-30,144.12025790007112,140.0799642252584,148.61724804814045,144.04706975114107,144.1606183293696,0.552773144843696,0.552773144843696,0.552773144843696,0.552773144843696,0.552773144843696,0.552773144843696,0.0,0.0,0.0,144.6730310449148
9,2022-05-31,144.30983966487028,141.47109018456118,150.0954607649921,144.22116590831325,144.36793400552372,1.4545067416522626,1.4545067416522626,1.4545067416522626,1.4545067416522626,1.4545067416522626,1.4545067416522626,0.0,0.0,0.0,145.76434640652255
10,2022-06-30,144.49330588886946,144.17136842957328,153.04740881799657,144.3853100780929,144.56718942408435,3.858779984498403,3.858779984498403,3.858779984498403,3.858779984498403,3.858779984498403,3.858779984498403,0.0,0.0,0.0,148.35208587336786
11,2022-07-31,144.68288765366862,143.63560235732226,152.45790408941693,144.5598286573807,144.77305328274124,3.2222494667229227,3.2222494667229227,3.2222494667229227,3.2222494667229227,3.2222494667229227,3.2222494667229227,0.0,0.0,0.0,147.90513712039154
12,2022-08-31,144.87246941846777,140.0116623159325,148.64408703918053,144.72681296293106,144.9756652278107,-0.40193114944848796,-0.40193114944848796,-0.40193114944848796,-0.40193114944848796,-0.40193114944848796,-0.40193114944848796,0.0,0.0,0.0,144.47053826901927
13,2022-09-30,145.05593564246698,138.57397277240642,147.0610528632178,144.88480665273028,145.17866921542418,-2.061841369185757,-2.061841369185757,-2.061841369185757,-2.061841369185757,-2.061841369185757,-2.061841369185757,0.0,0.0,0.0,142.99409427328123
14,2022-10-31,145.24551740726614,138.9767921168516,147.93717706717723,145.03956841685385,145.3889366032673,-1.555693352158747,-1.555693352158747,-1.555693352158747,-1.555693352158747,-1.555693352158747,-1.555693352158747,0.0,0.0,0.0,143.68982405510738
15,2022-11-30,145.4289836312653,140.3560226276246,148.9724004915175,145.19095345997653,145.59270980566106,-0.8966970582946017,-0.8966970582946017,-0.8966970582946017,-0.8966970582946017,-0.8966970582946017,-0.8966970582946017,0.0,0.0,0.0,144.53228657297072
16,2022-12-31,145.61856539606447,142.33523525866062,150.62297885241466,145.35458035191294,145.8027601506531,0.8664018609021856,0.8664018609021856,0.8664018609021856,0.8664018609021856,0.8664018609021856,0.8664018609021856,0.0,0.0,0.0,146.48496725696666
17,2023-01-31,145.80814716086363,140.02576941369878,148.7661149863465,145.52723082175612,146.00626804935789,-1.3357074388772812,-1.3357074388772812,-1.3357074388772812,-1.3357074388772812,-1.3357074388772812,-1.3357074388772812,0.0,0.0,0.0,144.47243972198635
