,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-31,140.61951239230325,139.10640766579215,142.48847981134097,140.61951239230325,140.61951239230325,0.1720776781807921,0.1720776781807921,0.1720776781807921,0.1720776781807921,0.1720776781807921,0.1720776781807921,0.0,0.0,0.0,140.79159007048403
1,2021-09-30,140.69214548021782,138.43966096041783,142.12153707264042,140.69214548021782,140.69214548021782,-0.4656497436152294,-0.4656497436152294,-0.4656497436152294,-0.4656497436152294,-0.4656497436152294,-0.4656497436152294,0.0,0.0,0.0,140.2264957366026
2,2021-10-31,140.76719967106283,138.4904288053943,142.18273500091613,140.76719967106283,140.76719967106283,-0.3802341830404691,-0.3802341830404691,-0.3802341830404691,-0.3802341830404691,-0.3802341830404691,-0.3802341830404691,0.0,0.0,0.0,140.38696548802235
3,2021-11-30,140.83983275897737,138.49514149762348,142.22852999950518,140.834234382686,140.83983275897737,-0.4718071387612331,-0.4718071387612331,-0.4718071387612331,-0.4718071387612331,-0.4718071387612331,-0.4718071387612331,0.0,0.0,0.0,140.36802562021614
4,2021-12-31,140.9148869498224,138.79454585936995,142.44225407497686,140.8937661984289,140.922646847404,-0.35120628498100387,-0.35120628498100387,-0.35120628498100387,-0.35120628498100387,-0.35120628498100387,-0.35120628498100387,0.0,0.0,0.0,140.5636806648414
5,2022-01-31,140.9899411406674,139.5389038237121,143.21248266616016,140.94711119719912,141.02307831314255,0.3791155112084472,0.3791155112084472,0.3791155112084472,0.3791155112084472,0.3791155112084472,0.3791155112084472,0.0,0.0,0.0,141.36905665187587
6,2022-02-28,141.05773202272098,140.0979898944483,143.69704183392514,140.99186073547457,141.11267149834634,0.8614137349380037,0.8614137349380037,0.8614137349380037,0.8614137349380037,0.8614137349380037,0.8614137349380037,0.0,0.0,0.0,141.91914575765898
7,2022-03-31,141.132786213566,139.39572086270152,142.9787202269469,141.04262158805528,141.21514240870658,0.0685509052693516,0.0685509052693516,0.0685509052693516,0.0685509052693516,0.0685509052693516,0.0685509052693516,0.0,0.0,0.0,141.20133711883534
8,2022-04-30,141.20541930148056,139.5638769351856,143.3058380737617,141.08308076826842,141.31824664940038,0.2255010622274635,0.2255010622274635,0.2255010622274635,0.2255010622274635,0.2255010622274635,0.2255010622274635,0.0,0.0,0.0,141.43092036370803
9,2022-05-31,141.28047349232557,139.70548661969426,143.39909870162128,141.13115054329052,141.43211304155946,0.28560728307438477,0.28560728307438477,0.28560728307438477,0.28560728307438477,0.28560728307438477,0.28560728307438477,0.0,0.0,0.0,141.56608077539997
10,2022-06-30,141.3531065802401,139.66557531226016,143.45041506351998,141.156877678974,141.5516992403524,0.11593373797940343,0.11593373797940343,0.11593373797940343,0.11593373797940343,0.11593373797940343,0.11593373797940343,0.0,0.0,0.0,141.4690403182195
11,2022-07-31,141.42816077108515,139.32931854071325,143.03577948181533,141.18809083441707,141.65631166895992,-0.24370332588674998,-0.24370332588674998,-0.24370332588674998,-0.24370332588674998,-0.24370332588674998,-0.24370332588674998,0.0,0.0,0.0,141.1844574451984
12,2022-08-31,141.50321496193015,139.865965857537,143.78059888557934,141.2074233191231,141.79077666971259,0.2663070361480459,0.2663070361480459,0.2663070361480459,0.2663070361480459,0.2663070361480459,0.2663070361480459,0.0,0.0,0.0,141.7695219980782
13,2022-09-30,141.5758480498447,139.43264192000694,143.0333511427728,141.2233621795935,141.90541746134204,-0.4429497667437722,-0.4429497667437722,-0.4429497667437722,-0.4429497667437722,-0.4429497667437722,-0.4429497667437722,0.0,0.0,0.0,141.13289828310093
14,2022-10-31,141.65090224068973,139.34001967308387,143.39064496876384,141.23672213206572,142.0424129252353,-0.40273338523901686,-0.40273338523901686,-0.40273338523901686,-0.40273338523901686,-0.40273338523901686,-0.40273338523901686,0.0,0.0,0.0,141.24816885545073
15,2022-11-30,141.72353532860427,139.37467865775258,143.22751263699683,141.25581310433077,142.1735259962325,-0.49602205335396676,-0.49602205335396676,-0.49602205335396676,-0.49602205335396676,-0.49602205335396676,-0.49602205335396676,0.0,0.0,0.0,141.22751327525032
16,2022-12-31,141.7985895194493,139.3833077699378,143.32375888571568,141.2822815865186,142.3093212486601,-0.40504890493067236,-0.40504890493067236,-0.40504890493067236,-0.40504890493067236,-0.40504890493067236,-0.40504890493067236,0.0,0.0,0.0,141.39354061451863
17,2023-01-31,141.87364371029435,140.30176271389075,144.21106628013527,141.28644052452321,142.45933589956866,0.3801074894623573,0.3801074894623573,0.3801074894623573,0.3801074894623573,0.3801074894623573,0.3801074894623573,0.0,0.0,0.0,142.2537511997567
