,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-31,149.35083370118465,148.06089870430822,151.47340787038632,149.35083370118465,149.35083370118465,0.4433720584558428,0.4433720584558428,0.4433720584558428,0.4433720584558428,0.4433720584558428,0.4433720584558428,0.0,0.0,0.0,149.7942057596405
1,2021-09-30,149.657935681912,147.694061451787,151.20183317875353,149.657935681912,149.657935681912,-0.15705472689886882,-0.15705472689886882,-0.15705472689886882,-0.15705472689886882,-0.15705472689886882,-0.15705472689886882,0.0,0.0,0.0,149.50088095501312
2,2021-10-31,149.97527439533027,147.57170688813858,150.94832922005267,149.97527439533027,149.97527439533027,-0.6043653099441885,-0.6043653099441885,-0.6043653099441885,-0.6043653099441885,-0.6043653099441885,-0.6043653099441885,0.0,0.0,0.0,149.37090908538607
3,2021-11-30,150.28237637605767,147.74529068655522,151.09858253433728,150.28237637605767,150.29345542298876,-0.9180063154808278,-0.9180063154808278,-0.9180063154808278,-0.9180063154808278,-0.9180063154808278,-0.9180063154808278,0.0,0.0,0.0,149.36437006057685
4,2021-12-31,150.59971508947592,148.90855612367653,152.57975226863823,150.5842995013194,150.63664484493717,0.06019444549340724,0.06019444549340724,0.06019444549340724,0.06019444549340724,0.06019444549340724,0.06019444549340724,0.0,0.0,0.0,150.65990953496933
5,2022-01-31,150.9170538028942,148.98684197394445,152.5220281025659,150.8652874456675,150.99447190138022,-0.16942116756142564,-0.16942116756142564,-0.16942116756142564,-0.16942116756142564,-0.16942116756142564,-0.16942116756142564,0.0,0.0,0.0,150.74763263533276
6,2022-02-28,151.20368231823974,149.77274491477465,153.4043392974268,151.12204781545967,151.33699989294752,0.33080964244538635,0.33080964244538635,0.33080964244538635,0.33080964244538635,0.33080964244538635,0.33080964244538635,0.0,0.0,0.0,151.53449196068513
7,2022-03-31,151.52102103165802,149.51437346223466,153.00477546189381,151.39391053869088,151.7105727963967,-0.30442306502587635,-0.30442306502587635,-0.30442306502587635,-0.30442306502587635,-0.30442306502587635,-0.30442306502587635,0.0,0.0,0.0,151.21659796663215
8,2022-04-30,151.8281230123854,150.21174105075713,154.03642351403363,151.64232255688177,152.0736366843123,0.22435753311063303,0.22435753311063303,0.22435753311063303,0.22435753311063303,0.22435753311063303,0.22435753311063303,0.0,0.0,0.0,152.05248054549602
9,2022-05-31,152.1454617258037,150.79426367381902,154.45918522900405,151.90139451322196,152.46549114023688,0.45467086764684167,0.45467086764684167,0.45467086764684167,0.45467086764684167,0.45467086764684167,0.45467086764684167,0.0,0.0,0.0,152.60013259345055
10,2022-06-30,152.45256370653104,151.08109595962827,154.74395459781624,152.08470863838855,152.8582931907419,0.457005718936532,0.457005718936532,0.457005718936532,0.457005718936532,0.457005718936532,0.457005718936532,0.0,0.0,0.0,152.90956942546757
11,2022-07-31,152.7699024199493,151.1698042491875,155.00356147141125,152.31542500154038,153.24934858749128,0.4130346392593325,0.4130346392593325,0.4130346392593325,0.4130346392593325,0.4130346392593325,0.4130346392593325,0.0,0.0,0.0,153.18293705920863
12,2022-08-31,153.08724113336763,151.6514901439917,155.64436711005467,152.54146173224933,153.62788174160391,0.5285069614093812,0.5285069614093812,0.5285069614093812,0.5285069614093812,0.5285069614093812,0.5285069614093812,0.0,0.0,0.0,153.61574809477702
13,2022-09-30,153.39434311409497,151.22834756406854,155.3526344446804,152.75131824169688,154.01916291548352,-0.11039430136284152,-0.11039430136284152,-0.11039430136284152,-0.11039430136284152,-0.11039430136284152,-0.11039430136284152,0.0,0.0,0.0,153.28394881273212
14,2022-10-31,153.7116818275133,151.04795705121077,155.14168972745665,152.91178193500525,154.44674308405965,-0.6823808739772704,-0.6823808739772704,-0.6823808739772704,-0.6823808739772704,-0.6823808739772704,-0.6823808739772704,0.0,0.0,0.0,153.02930095353602
15,2022-11-30,154.01878380824064,151.03493617543708,155.25362861072978,153.1151205231748,154.82524369399786,-0.9337369163732807,-0.9337369163732807,-0.9337369163732807,-0.9337369163732807,-0.9337369163732807,-0.9337369163732807,0.0,0.0,0.0,153.08504689186736
16,2022-12-31,154.3361225216589,152.28580108004024,156.44744782011753,153.309851149871,155.2689953118006,0.09154444594203758,0.09154444594203758,0.09154444594203758,0.09154444594203758,0.09154444594203758,0.09154444594203758,0.0,0.0,0.0,154.42766696760094
17,2023-01-31,154.65346123507717,152.07505057450925,156.6451122406314,153.5011811699185,155.72515840694473,-0.21984819339487555,-0.21984819339487555,-0.21984819339487555,-0.21984819339487555,-0.21984819339487555,-0.21984819339487555,0.0,0.0,0.0,154.4336130416823
