ds,"Fruit, fruit preparations and nuts"
2021-10-01,147.78271484375
2021-11-01,147.20762634277344
2021-12-01,152.0125274658203
2022-01-01,151.74053955078125
2022-02-01,151.44117736816406
2022-03-01,150.55325317382812
2022-04-01,152.57781982421875
2022-05-01,151.42440795898438
2022-06-01,147.63551330566406
2022-07-01,154.57334899902344
2022-08-01,151.07322692871094
2022-09-01,152.80084228515625
2022-10-01,151.6621551513672
2022-11-01,150.24827575683594
2022-12-01,159.10354614257812
2023-01-01,160.71527099609375
2023-02-01,159.88075256347656
2023-03-01,161.8721923828125
