,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2016-08-01,155.85042,136.51945,132.83537,143.0147,143.16162,138.41626,159.1417,135.80379,135.01999
2016-09-01,155.44214,135.64491,132.26984,142.7044,143.70949,137.34416,158.22835,135.83707,133.47719
2016-10-01,155.76971,136.03246,131.47931,143.3301,143.6088,138.88666,159.48343,135.80046,133.00919
2016-11-01,155.66231,135.90242,132.41232,143.6771,143.82603,138.14267,159.2557,135.75461,133.92087
2016-12-01,155.8439,135.94601,132.19293,144.11246,144.73701,140.55168,161.70027,136.47902,138.47052
2017-01-01,154.8379,135.49284,131.95941,143.19006,143.72952,138.64331,158.87476,134.73566,136.6569
2017-02-01,156.7476,136.62897,133.10097,145.1791,145.80797,141.20935,162.59149,137.02328,140.08871
2017-03-01,156.13579,136.27542,133.45543,144.96681,145.49637,141.0501,162.40744,137.16612,138.191
2017-04-01,156.76312,136.50664,134.13423,145.09988,145.82855,140.76299,162.9334,137.11874,141.03639
2017-05-01,156.3397,136.15761,134.55171,144.40056,145.21167,141.54147,162.93724,136.54787,138.80077
2017-06-01,156.58183,137.15462,135.4876,145.59576,146.87122,141.59421,163.62274,137.61726,140.09059
2017-07-01,157.49232,136.95891,134.82951,145.45746,146.40048,141.73163,162.8201,137.46478,139.58339
2017-08-01,157.04091,136.33928,134.86253,145.5279,146.4007,142.6862,163.5713,137.36378,136.48232
2017-09-01,158.9639,137.2168,134.96222,145.88776,146.31192,142.33368,163.10071,137.95706,137.12885
2017-10-01,158.54056,136.70338,136.34108,146.65742,146.7058,143.868,164.60329,137.73824,136.9851
2017-11-01,158.49579,137.46046,135.17213,145.8568,146.6274,142.62935,164.87317,137.5684,139.1313
2017-12-01,158.22447,136.55405,135.90836,146.78738,147.26155,144.1581,165.13113,137.89743,141.69124
2018-01-01,159.68616,137.97322,136.13138,147.67166,149.06436,145.4203,166.10724,140.08257,144.59929
