,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2020-08-01,165.1245,145.97435,153.0173,166.89635,160.44083,146.25093,177.88744,144.32147,170.33446
2020-09-01,172.94434,150.87177,157.21738,172.41367,166.42996,154.04288,186.86751,150.62943,165.72552
2020-10-01,195.04843,171.1717,181.11359,197.78886,189.39655,173.61943,207.51187,171.00537,187.03539
2020-11-01,164.94586,146.41295,147.6562,165.17879,159.66577,144.07549,177.30266,143.93185,172.74626
2020-12-01,171.56677,149.97087,155.46335,168.43857,164.47122,153.64542,181.58348,150.35674,161.9691
2021-01-01,155.20995,139.36626,142.71544,159.29462,151.80432,137.10027,167.3611,138.13547,145.8819
2021-02-01,166.42491,148.54312,153.4918,167.6426,160.98962,145.8208,175.00697,146.16772,156.61339
2021-03-01,172.04163,154.91933,152.11945,167.50537,160.98262,144.75136,177.17708,150.65633,169.7833
2021-04-01,143.63103,126.94032,124.771866,140.51225,133.94055,124.499825,148.76512,125.215294,130.30357
2021-05-01,147.21042,131.26956,134.71475,149.53424,143.42062,128.36923,154.68958,130.70494,142.90118
2021-06-01,172.89238,152.29416,153.96396,172.33391,165.16064,147.82228,181.14348,150.90686,165.72821
2021-07-01,159.66737,141.48434,147.18488,162.19177,155.13466,140.16449,169.87645,141.27623,157.92847
2021-08-01,157.0356,138.33551,143.12872,154.10333,151.89893,140.8163,170.18965,137.9546,157.83647
2021-09-01,158.87453,139.5291,151.08844,163.18578,155.1846,142.0711,168.0953,139.63431,153.90396
