,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2018-08-01,151.30817,133.7077,138.30045,152.98663,145.29716,135.16463,157.8373,133.86362,137.12389
2018-09-01,149.94528,132.72871,137.44235,153.45116,144.9363,134.38925,158.27754,133.19374,133.91672
2018-10-01,151.52498,133.58572,137.8397,154.1373,145.7607,135.671,158.63185,133.88528,134.76863
2018-11-01,151.00847,133.21411,138.40686,155.06003,145.97244,135.35114,158.72638,133.79237,136.1048
2018-12-01,150.84555,133.37582,137.87154,154.99672,146.1025,135.91005,158.78238,133.389,138.08917
2019-01-01,150.59317,133.95135,138.35104,155.93701,146.76631,137.58363,158.43417,133.92047,139.70602
2019-02-01,151.8348,134.54013,138.8047,155.14354,146.74197,136.70016,158.78392,135.1373,140.8418
2019-03-01,151.53793,133.7567,139.81853,156.39816,147.51591,137.33728,159.54402,134.62001,141.5203
2019-04-01,152.00296,134.53558,139.95834,156.72092,147.4219,137.25386,159.2256,135.47647,139.99576
2019-05-01,151.89384,134.27158,140.90271,156.43297,147.91618,137.75627,160.90907,134.96281,140.10277
2019-06-01,151.675,133.66238,141.04485,156.7169,147.47719,137.14078,160.40253,134.65164,139.87627
2019-07-01,150.9707,133.24223,141.0944,156.42424,147.284,137.4685,160.65791,134.06726,140.20215
2019-08-01,151.97295,133.84882,141.76808,157.35686,147.54984,136.56686,161.72383,135.27818,137.91417
2019-09-01,152.18156,133.97032,141.10217,157.2884,147.64075,135.92995,161.4383,134.88528,136.9991
2019-10-01,152.23943,134.257,141.52924,157.15337,147.83807,137.02284,162.1777,134.47142,136.13231
2019-11-01,152.3846,134.22072,141.52097,157.1862,148.01688,137.59387,162.03236,135.19728,137.93881
2019-12-01,152.12186,134.27757,140.98134,157.30486,147.5529,137.02763,160.53374,134.44154,139.55049
2020-01-01,151.53639,134.23488,140.47444,157.68929,148.90393,138.42151,160.80003,135.233,142.88998
