,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2017-08-01,151.21655,133.59955,136.92189,146.33492,142.79404,136.58606,157.7676,133.73914,133.25258
2017-09-01,150.82167,132.77238,138.55318,147.41353,143.17593,136.8934,157.91164,133.66652,133.90948
2017-10-01,150.67227,133.09442,137.67752,147.45728,143.83911,136.97083,159.11926,134.00607,132.83727
2017-11-01,150.77255,133.34763,137.47507,147.4542,143.87996,138.93861,158.29013,134.05241,135.57983
2017-12-01,150.74063,132.4791,137.18063,147.83469,143.81238,137.9035,157.52718,133.1033,134.09627
2018-01-01,151.02647,133.58716,137.94585,147.92265,144.85172,137.8489,159.62553,133.68549,137.52223
2018-02-01,152.38202,133.77524,139.19566,148.37111,145.65643,141.42677,159.23033,134.53021,138.85548
2018-03-01,152.38997,134.14072,139.12595,148.78838,145.37646,140.28806,159.79999,134.84195,140.15694
2018-04-01,153.18121,134.40894,139.06859,149.1327,146.34804,141.27325,161.21281,134.94554,138.97058
2018-05-01,152.12582,133.25854,138.49448,148.56511,145.02472,137.5374,156.98866,135.11676,136.81683
2018-06-01,154.34528,134.65697,140.97769,149.74854,146.77162,141.80751,161.52774,136.26752,137.72345
2018-07-01,153.91408,135.90826,141.62845,150.6774,146.7863,140.21054,162.12546,136.93349,137.92406
2018-08-01,153.75291,134.18434,141.88165,150.72197,147.05971,141.02893,162.2378,136.54694,137.74742
2018-09-01,151.91162,133.85841,142.03654,150.26541,146.2118,140.03767,160.96735,135.27385,137.74184
2018-10-01,151.96878,133.75279,140.3256,149.11569,145.087,139.54651,161.7612,134.59312,136.11693
2018-11-01,154.12445,134.94707,140.53793,150.73236,146.06122,140.09087,162.06767,135.84196,137.43881
2018-12-01,154.93819,134.59187,142.19116,151.57422,147.03845,141.03415,163.09683,136.14688,139.08125
2019-01-01,152.27327,133.74452,140.45323,150.71883,146.87268,142.2994,163.90721,134.8565,142.28682
