,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2019-08-01,136.15608,120.1894,124.51,138.8475,131.14847,118.79561,141.90448,118.367134,139.59236
2019-09-01,147.9581,130.86432,141.51929,152.78935,147.16992,137.42105,161.61775,131.13185,155.892
2019-10-01,146.71692,130.9246,137.45224,149.34605,142.78908,132.65714,154.07037,129.22577,144.64433
2019-11-01,175.46562,155.78185,153.55223,170.63148,166.88794,150.03555,182.24077,153.96596,169.51349
2019-12-01,162.76431,145.51389,146.47906,161.66327,156.68695,141.16812,166.8238,145.10683,162.3181
2020-01-01,142.75238,127.216774,136.24837,150.96,141.17102,125.36929,153.72945,127.85776,142.18259
2020-02-01,181.69803,160.73811,158.23691,174.70116,171.46068,159.8541,185.35376,158.86371,171.18074
2020-03-01,155.92485,137.8063,136.69896,151.0696,147.4495,138.38756,160.38168,135.37614,152.28452
2020-04-01,145.10812,128.0803,133.11324,147.16263,141.20328,130.57799,154.82448,128.15965,143.7057
2020-05-01,151.8663,133.98146,136.26028,149.76852,143.15753,131.63225,155.19182,132.46472,147.92818
2020-06-01,180.14766,159.99142,163.90189,179.9572,176.29448,162.52931,190.21553,161.20499,175.86224
2020-07-01,179.08801,160.31924,170.43295,182.76637,175.31851,158.57272,196.20517,157.77335,181.55592
2020-08-01,141.52821,121.07309,131.48076,139.36108,136.78487,131.0208,153.59969,122.2839,144.98293
2020-09-01,153.43697,137.16743,137.57867,149.67569,145.9125,136.96274,159.02585,135.50629,146.55115
2020-10-01,178.99156,158.4756,158.06563,176.41406,170.0113,157.75414,185.82988,157.08517,167.69267
2020-11-01,168.16698,148.09409,149.11804,168.3543,162.38908,149.09203,179.79137,149.5071,155.83792
2020-12-01,153.35686,137.6602,147.06238,159.62524,151.53346,137.28241,168.19621,138.09604,145.09875
2021-01-01,164.86275,146.28027,148.05101,163.69406,158.59639,143.539,171.9423,145.96495,160.23186
