ds,Food
2021-10-01,148.23110961914062
2021-11-01,157.57275390625
2021-12-01,161.50222778320312
2022-01-01,166.8942413330078
2022-02-01,167.27337646484375
2022-03-01,167.65692138671875
2022-04-01,168.60415649414062
2022-05-01,171.18515014648438
2022-06-01,174.48654174804688
2022-07-01,173.00950622558594
2022-08-01,163.9712677001953
2022-09-01,157.33917236328125
2022-10-01,159.46302795410156
2022-11-01,167.51412963867188
2022-12-01,170.00164794921875
2023-01-01,174.5472869873047
2023-02-01,174.7893524169922
2023-03-01,174.95803833007812
