REF_DATE,Bakery and cereal products (excluding baby food),Vegetables and vegetable preparations,Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages
2017-08-01,133.625732421875,132.92251586914062,133.1517791748047,133.79684448242188,133.34124755859375,133.648193359375,133.60491943359375,133.88916015625,133.84811401367188
2017-09-01,126.8675537109375,128.049560546875,127.72944641113281,128.38885498046875,127.8128890991211,127.58966064453125,128.50270080566406,128.5042724609375,127.92591094970703
2017-10-01,128.71539306640625,129.09429931640625,129.23849487304688,129.93386840820312,129.48338317871094,129.16558837890625,129.73712158203125,129.99130249023438,129.86997985839844
2017-11-01,134.26849365234375,134.04574584960938,134.32785034179688,135.34994506835938,134.4207305908203,134.08233642578125,134.3785400390625,134.66851806640625,134.88345336914062
2017-12-01,138.85386657714844,138.24046325683594,137.82376098632812,139.2703094482422,138.143310546875,137.42144775390625,139.14634704589844,139.1604766845703,139.09933471679688
2018-01-01,145.07720947265625,144.62057495117188,144.2566375732422,144.85113525390625,144.79638671875,143.78271484375,144.43685913085938,145.7356414794922,145.6478271484375
2018-02-01,144.26416015625,144.26248168945312,143.28977966308594,144.5211181640625,144.3787384033203,143.77276611328125,144.03997802734375,144.47286987304688,144.25442504882812
2018-03-01,143.04476928710938,142.92059326171875,142.04515075683594,143.50503540039062,142.59896850585938,141.21484375,142.71949768066406,142.8981170654297,142.23886108398438
2018-04-01,140.58758544921875,141.33749389648438,140.80758666992188,141.34608459472656,141.83065795898438,139.96240234375,140.8070068359375,141.84429931640625,141.60659790039062
2018-05-01,143.3125457763672,143.63082885742188,142.86587524414062,143.65037536621094,144.13870239257812,142.43289184570312,143.2938232421875,143.69583129882812,144.0335235595703
2018-06-01,144.77854919433594,144.87362670898438,143.5674285888672,144.86837768554688,144.46810913085938,143.1062469482422,144.61111450195312,144.58009338378906,144.93548583984375
2018-07-01,142.1083984375,141.61087036132812,140.82049560546875,142.78887939453125,142.4744873046875,140.9618377685547,141.55630493164062,142.25221252441406,142.94622802734375
2018-08-01,136.96368408203125,136.39608764648438,136.66932678222656,138.0284881591797,136.88113403320312,136.07269287109375,135.8409423828125,137.67860412597656,138.04043579101562
2018-09-01,132.4982452392578,132.6177978515625,132.4993896484375,133.50387573242188,132.07095336914062,132.1688232421875,131.69622802734375,133.69639587402344,133.94363403320312
2018-10-01,133.20248413085938,133.86477661132812,133.635498046875,133.79751586914062,133.77737426757812,133.41748046875,133.57989501953125,134.9664306640625,134.60321044921875
2018-11-01,140.17156982421875,140.20608520507812,140.31488037109375,140.99159240722656,140.062255859375,139.6521453857422,139.94775390625,141.71762084960938,140.810546875
2018-12-01,143.22500610351562,142.970947265625,142.39492797851562,143.36741638183594,143.60308837890625,142.25100708007812,142.66964721679688,143.8603515625,143.41705322265625
2019-01-01,148.77931213378906,147.74720764160156,147.66848754882812,148.64990234375,148.7427978515625,147.5127410888672,149.11456298828125,149.14288330078125,148.490234375
