REF_DATE,Bakery and cereal products (excluding baby food),Vegetables and vegetable preparations,Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages
2015-08-01,154.99041748046875,121.93904113769531,134.24151611328125,121.69554901123047,137.63180541992188,140.82949829101562,128.12490844726562,155.39260864257812,132.41387939453125
2015-09-01,155.69345092773438,113.530029296875,134.09320068359375,120.98896789550781,138.03387451171875,141.4473114013672,124.77681732177734,154.5524139404297,131.79168701171875
2015-10-01,155.215576171875,113.55166625976562,133.57339477539062,121.57947540283203,138.2576904296875,142.65740966796875,123.23533630371094,154.28646850585938,131.9936065673828
2015-11-01,155.53900146484375,120.72053527832031,134.24307250976562,121.50006103515625,138.24354553222656,142.48641967773438,124.34306335449219,154.21206665039062,131.4224090576172
2015-12-01,155.20570373535156,121.91465759277344,132.99742126464844,121.69699096679688,138.34693908691406,142.00045776367188,125.68051147460938,153.03370666503906,130.6814422607422
2016-01-01,155.17762756347656,125.69532012939453,133.34951782226562,123.02392578125,138.70091247558594,144.36412048339844,128.45030212402344,153.278564453125,131.77854919433594
2016-02-01,155.76531982421875,124.2552490234375,134.1281280517578,123.7283935546875,138.37045288085938,143.04193115234375,126.80379486083984,152.25973510742188,132.21502685546875
2016-03-01,154.57125854492188,124.9950942993164,134.12246704101562,124.02086639404297,138.56246948242188,143.63845825195312,124.8545150756836,152.7640380859375,132.20785522460938
2016-04-01,156.73207092285156,125.47270965576172,134.40829467773438,125.084228515625,138.82778930664062,143.8593292236328,124.80621337890625,153.0751953125,131.70016479492188
2016-05-01,156.63272094726562,126.46914672851562,134.06971740722656,126.34272003173828,138.9367218017578,143.74285888671875,126.90927124023438,153.100830078125,131.37850952148438
2016-06-01,156.46408081054688,129.13681030273438,133.84814453125,126.23212432861328,138.85400390625,144.5612335205078,127.95245361328125,154.03648376464844,131.42462158203125
2016-07-01,156.47918701171875,123.96450805664062,134.83387756347656,129.27273559570312,139.02328491210938,145.362060546875,128.5643768310547,155.02304077148438,131.06878662109375
2016-08-01,155.18881225585938,117.44137573242188,134.19960021972656,127.64213562011719,139.8106689453125,146.3876495361328,128.06210327148438,154.67617797851562,131.87216186523438
2016-09-01,154.9337158203125,108.51455688476562,134.7622528076172,127.03361511230469,139.2877960205078,144.69644165039062,124.69937133789062,156.06044006347656,131.27694702148438
2016-10-01,157.20394897460938,112.1312026977539,134.2187042236328,128.4248809814453,140.60641479492188,145.87115478515625,124.33548736572266,153.97067260742188,132.0236358642578
2016-11-01,156.82723999023438,118.98896789550781,133.98268127441406,125.85028839111328,140.16062927246094,145.76629638671875,125.03315734863281,154.419921875,131.44386291503906
2016-12-01,157.15594482421875,122.96176147460938,134.0172882080078,126.70198059082031,140.49583435058594,146.29327392578125,127.4214096069336,156.1931610107422,131.04100036621094
2017-01-01,156.48423767089844,125.67851257324219,135.21963500976562,126.76931762695312,140.60198974609375,147.61862182617188,129.59190368652344,156.22561645507812,132.46865844726562
