ds,Food
2021-10-01,149.7383575439453
2021-11-01,151.15765380859375
2021-12-01,152.90487670898438
2022-01-01,153.71168518066406
2022-02-01,153.36712646484375
2022-03-01,153.1229705810547
2022-04-01,153.1329345703125
2022-05-01,154.87144470214844
2022-06-01,155.77804565429688
2022-07-01,154.27667236328125
2022-08-01,154.11399841308594
2022-09-01,152.34780883789062
2022-10-01,153.549072265625
2022-11-01,157.48751831054688
2022-12-01,156.13436889648438
2023-01-01,156.54714965820312
2023-02-01,158.06849670410156
2023-03-01,157.39039611816406
