REF_DATE,Bakery and cereal products (excluding baby food),Dairy products and eggs,"Fish, seafood and other marine products",Food purchased from restaurants,Food,"Fruit, fruit preparations and nuts",Meat,Other food products and non-alcoholic beverages,Vegetables and vegetable preparations
2017-08-01,147.97608947753906,131.97006225585938,137.45199584960938,145.72015380859375,141.9853515625,141.79727172851562,162.79568481445312,132.34085083007812,135.86378479003906
2017-09-01,148.97398376464844,134.49192810058594,136.8379364013672,145.18162536621094,140.77835083007812,138.89344787597656,164.96148681640625,132.5194091796875,128.63168334960938
2017-10-01,148.37188720703125,132.76605224609375,135.38980102539062,145.86770629882812,141.50076293945312,139.537109375,165.25311279296875,132.69276428222656,129.44757080078125
2017-11-01,148.55886840820312,133.16165161132812,134.73309326171875,145.86016845703125,143.74179077148438,140.52865600585938,168.8525390625,132.45016479492188,139.78643798828125
2017-12-01,147.93621826171875,132.0198974609375,133.4930877685547,146.04849243164062,142.04794311523438,144.093994140625,169.8572540283203,131.09835815429688,143.55612182617188
2018-01-01,149.73593139648438,132.14315795898438,136.94677734375,146.56414794921875,144.31893920898438,148.23541259765625,171.9273223876953,133.61122131347656,147.9926300048828
2018-02-01,151.16928100585938,132.65936279296875,136.6389617919922,146.62362670898438,145.47181701660156,148.1606903076172,173.72903442382812,133.44300842285156,147.99752807617188
2018-03-01,149.58071899414062,134.17196655273438,138.30770874023438,147.2797393798828,146.1890106201172,146.17922973632812,175.65585327148438,133.76675415039062,147.50750732421875
2018-04-01,149.23175048828125,134.0968780517578,139.12820434570312,147.92327880859375,146.57015991210938,147.41131591796875,177.40695190429688,134.61502075195312,146.54551696777344
2018-05-01,148.50634765625,132.2904052734375,140.64813232421875,147.43560791015625,146.41448974609375,150.364990234375,178.90606689453125,134.9370880126953,146.89556884765625
2018-06-01,147.73248291015625,131.30352783203125,140.44107055664062,148.7108917236328,147.1379852294922,150.882080078125,181.96493530273438,134.82431030273438,150.4525146484375
2018-07-01,148.74969482421875,133.0844268798828,140.59500122070312,148.9542236328125,148.12283325195312,151.53060913085938,181.64697265625,135.32765197753906,149.01303100585938
2018-08-01,149.31338500976562,131.8050537109375,141.48867797851562,149.58724975585938,148.58383178710938,149.60501098632812,184.2393798828125,135.06228637695312,142.9315643310547
2018-09-01,146.5911865234375,131.281982421875,139.5744171142578,149.20639038085938,148.35397338867188,148.22010803222656,183.8624725341797,135.61534118652344,135.77847290039062
2018-10-01,146.8724365234375,130.49765014648438,139.07876586914062,148.96266174316406,148.80657958984375,145.36634826660156,184.18661499023438,136.13270568847656,137.70846557617188
2018-11-01,145.56729125976562,131.6308135986328,139.69635009765625,149.45285034179688,148.97303771972656,146.2407989501953,185.79296875,136.128662109375,146.26702880859375
2018-12-01,147.82901000976562,131.92433166503906,139.61996459960938,150.26345825195312,150.90423583984375,147.826904296875,187.42938232421875,135.0808563232422,150.3797607421875
2019-01-01,145.3687286376953,130.71531677246094,141.69699096679688,151.66542053222656,150.3079833984375,151.74185180664062,187.36863708496094,137.6544189453125,152.87579345703125
